symbol,time_open,time_close,side,entry,exit,leverage,pnl_usd,pnl_pct,score,strategy,reason,balance
BTC/USDT,2026-03-05 15:11,2026-03-06 12:09,sell,71639.92529099999,69795.87,6.0,14.964365276843715,0.14964365276843716,-32.0,Breakout,TP (Hit Price/ROE),
BTC/USDT,2026-03-06 12:09,2026-03-06 14:50,sell,69826.35666599999,68318.21,7.0,14.558971067754928,0.14558971067754928,-31.0,Breakout,TP (Hit Price/ROE),
BTC/USDT,2026-03-06 14:54,2026-03-07 03:13,sell,68345.95472099999,68499.99,7.0,-2.1376309767004003,-0.021376309767004,-34.0,Breakout,SIGNAL (1M: Phá đỉnh (Vol: DOT_BIEN); 3M: Phá đỉnh (Vol: DOT_BIEN); 5M: Phá đỉnh (Vol: TANG); 15M: Phá đỉnh (Vol: TANG)),
BTC/USDT,2026-03-07 06:53,2026-03-07 11:14,sell,67709.49837300001,68186.93,7.0,-5.495823583552876,-0.05495823583552876,-33.0,Breakout,SIGNAL (1M: Phá đỉnh (Vol: DOT_BIEN); 3M: Phá đỉnh (Vol: DOT_BIEN); 5M: Phá đỉnh (Vol: DOT_BIEN); 15M: Phá đỉnh (Vol: THAP)),
BTC/USDT,2026-03-07 19:19,2026-03-08 08:44,sell,67357.45358100001,67500.11,8.0,-2.334320808353501,-0.02334320808353501,-40.0,Breakout,SIGNAL (1M: Phá đỉnh (Vol: DOT_BIEN); 3M: Phá đỉnh (Vol: TANG); 5M: Phá đỉnh (Vol: DOT_BIEN); 15M: Phá đỉnh (Vol: TANG); 30M: Phá đỉnh (Vol: THAP)),
BTC/USDT,2026-03-08 08:44,2026-03-08 12:13,buy,67506.860011,67078.74831274088,7.0,-4.999225713246803,-0.04999225713246803,26.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-08 22:03,2026-03-09 00:35,sell,66038.285511,66583.43252276594,4.0,-3.622005844322795,-0.03622005844322795,-43.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-09 03:19,2026-03-09 07:18,buy,67646.46397,66981.03993589572,6.0,-6.382073767516174,-0.06382073767516175,27.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-09 09:32,2026-03-09 11:21,buy,68134.8128,67357.22467549141,7.0,-8.548745617512195,-0.08548745617512195,32.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-09 13:11,2026-03-10 02:34,buy,68511.790494,70014.99,7.0,14.798519265266528,0.14798519265266527,27.0,Breakout,TP (Hit Price/ROE),
